trial	block	block_position	global_order	physical_finger	daemon_pid	daemon_invocation_id	result	action_return_code	probe_keypoints	threshold	template_samples	comparison_count	max_score	scores_by_enrolled_sample	real_submit
1	A	1	1	RIGHT_INDEX	82679	a96bb85725c2461db9b75b63ebbf70d5	match	0	137	40	8	2	941	1:0,2:941	82
2	A	2	2	RIGHT_INDEX	82679	a96bb85725c2461db9b75b63ebbf70d5	match	0	155	40	8	1	129	1:129	79
3	B	1	3	RIGHT_INDEX	82787	34ca0e8529f34d4597211663400cedd4	match	0	136	40	8	1	2739	1:2739	80
4	B	2	4	RIGHT_INDEX	82787	34ca0e8529f34d4597211663400cedd4	no_match	1	123	40	8	8	1	1:0,2:1,3:0,4:0,5:0,6:0,7:0,8:0	83
