frame,packet_index_zero_based,timestamp_utc,relative_ms,usb_bus,usb_device,usbpcap_function_numeric,function_semantic_class,status,status_semantic,transfer_type,endpoint,direction,usbpcap_info,urb_stage,data_length,wrapper,a0_control,marker_operator_phase,interpretation,evidence_class
28,27,2026-08-22T20:56:43.589938Z,43.684,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xd5,VM_USB_ATTACH_BEGIN,D4 wire coordinate,OBSERVED
29,28,2026-08-22T20:56:43.590371Z,44.117,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
30,29,2026-08-22T20:56:43.605194Z,58.940,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0x01,VM_USB_ATTACH_BEGIN,bounded no-ack state form,OBSERVED
31,30,2026-08-22T20:56:43.605611Z,59.357,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
32,31,2026-08-22T20:56:43.621657Z,75.403,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xa8,VM_USB_ATTACH_BEGIN,firmware version query,OBSERVED
33,32,2026-08-22T20:56:43.622446Z,76.192,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
34,33,2026-08-22T20:56:43.622530Z,76.276,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
35,34,2026-08-22T20:56:43.623193Z,76.939,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
36,35,2026-08-22T20:56:43.623754Z,77.500,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,30,0xa0,0xa8,VM_USB_ATTACH_BEGIN,firmware version query,OBSERVED
37,36,2026-08-22T20:56:43.624095Z,77.841,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
38,37,2026-08-22T20:56:43.624508Z,78.254,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0x01,VM_USB_ATTACH_BEGIN,bounded no-ack state form,OBSERVED
39,38,2026-08-22T20:56:43.624925Z,78.671,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
40,39,2026-08-22T20:56:43.636279Z,90.025,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0x97,VM_USB_ATTACH_BEGIN,D230 builder-proven SetDriverState wire coordinate,OBSERVED
41,40,2026-08-22T20:56:43.637229Z,90.975,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
42,41,2026-08-22T20:56:43.653413Z,107.159,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xaf,VM_USB_ATTACH_BEGIN,MCU state query wire coordinate,OBSERVED
43,42,2026-08-22T20:56:43.654561Z,108.307,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
44,43,2026-08-22T20:56:43.654637Z,108.383,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,24,0xa0,0xae,VM_USB_ATTACH_BEGIN,MCU state response,OBSERVED
45,44,2026-08-22T20:56:43.654959Z,108.705,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
46,45,2026-08-22T20:56:43.655727Z,109.473,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0x01,VM_USB_ATTACH_BEGIN,bounded no-ack state form,OBSERVED
47,46,2026-08-22T20:56:43.656278Z,110.024,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
48,47,2026-08-22T20:56:43.667939Z,121.685,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xa8,VM_USB_ATTACH_BEGIN,firmware version query,OBSERVED
49,48,2026-08-22T20:56:43.668719Z,122.465,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
50,49,2026-08-22T20:56:43.668793Z,122.539,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
51,50,2026-08-22T20:56:43.669078Z,122.824,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
52,51,2026-08-22T20:56:43.669632Z,123.378,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,30,0xa0,0xa8,VM_USB_ATTACH_BEGIN,firmware version query,OBSERVED
53,52,2026-08-22T20:56:43.669851Z,123.597,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
54,53,2026-08-22T20:56:43.675410Z,129.156,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xe4,VM_USB_ATTACH_BEGIN,bounded production read selector,OBSERVED
55,54,2026-08-22T20:56:43.675913Z,129.659,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
56,55,2026-08-22T20:56:43.675948Z,129.694,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
57,56,2026-08-22T20:56:43.676262Z,130.008,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
58,57,2026-08-22T20:56:43.677409Z,131.155,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,49,0xa0,0xe4,VM_USB_ATTACH_BEGIN,bounded production read selector,OBSERVED
