journal_received_utc	boot_id	monotonic_us	message
2026-09-15T09:40:50.726096+00:00	a18f012133c348f5a6d1d5edeb00a2e5	111184420	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=76 outstanding=0 drained=1 context_closed=1
2026-09-15T09:40:58.902327+00:00	a18f012133c348f5a6d1d5edeb00a2e5	119360651	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_IRQ100_1 rejected_a0_control=54 rejected_a0_irq=256 rejected_a0_flags=63 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=53 outstanding=0 drained=1 context_closed=1
2026-09-15T09:41:10.693301+00:00	a18f012133c348f5a6d1d5edeb00a2e5	131151625	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=75 outstanding=0 drained=1 context_closed=1
2026-09-15T09:41:18.296545+00:00	a18f012133c348f5a6d1d5edeb00a2e5	138754869	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=76 outstanding=0 drained=1 context_closed=1
2026-09-15T10:07:59.765402+00:00	a18f012133c348f5a6d1d5edeb00a2e5	1740223726	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=76 outstanding=0 drained=1 context_closed=1
2026-09-15T10:09:13.747939+00:00	644bcaf1c8c7451ab99f585de8393389	16209710	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 baseline_touch_flags_accepted=1 baseline_last_accepted_flags=63 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_82 rejected_a0_control=130 rejected_a0_irq=-1 rejected_a0_flags=-1 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=61 outstanding=0 drained=1 context_closed=1
2026-09-15T10:09:18.000945+00:00	644bcaf1c8c7451ab99f585de8393389	20462715	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 baseline_touch_flags_accepted=1 baseline_last_accepted_flags=63 capture_entry=1 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FIRST_IRQ2 rejected_a0_control=50 rejected_a0_irq=128 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=70 outstanding=0 drained=1 context_closed=1
2026-09-15T10:09:21.704469+00:00	644bcaf1c8c7451ab99f585de8393389	24166240	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 baseline_touch_flags_accepted=1 baseline_last_accepted_flags=63 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_82 rejected_a0_control=130 rejected_a0_irq=-1 rejected_a0_flags=-1 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=61 outstanding=0 drained=1 context_closed=1
2026-09-15T10:09:26.301857+00:00	644bcaf1c8c7451ab99f585de8393389	28763628	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 baseline_touch_flags_accepted=1 baseline_last_accepted_flags=63 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_IRQ100_3 rejected_a0_control=54 rejected_a0_irq=256 rejected_a0_flags=63 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=67 outstanding=0 drained=1 context_closed=1
2026-09-15T10:09:31.614482+00:00	644bcaf1c8c7451ab99f585de8393389	34076253	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 baseline_touch_flags_accepted=1 baseline_last_accepted_flags=63 capture_entry=1 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FIRST_IRQ2 rejected_a0_control=50 rejected_a0_irq=128 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=70 outstanding=0 drained=1 context_closed=1
